GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FSE-TWEET-APP,com.tweetapp.repository,TweetCustomRepositoryImpl,22,6,0,0,3,3,1,1,1,1
FSE-TWEET-APP,com.tweetapp.exception,CustomException,0,4,0,0,0,2,0,1,0,1
FSE-TWEET-APP,com.tweetapp.exception,JwtAuthEntryPointExceptionHandler,0,21,0,0,0,5,0,3,0,3
FSE-TWEET-APP,com.tweetapp.exception,AuthenticationException,0,5,0,0,0,2,0,1,0,1
FSE-TWEET-APP,com.tweetapp.exception,GlobalControllerAdvice,0,113,0,0,0,27,0,5,0,5
FSE-TWEET-APP,com.tweetapp,FseTweetAppApplication,5,3,0,0,2,1,1,1,1,1
FSE-TWEET-APP,com.tweetapp.service,EmailServiceImpl,24,7,0,0,8,3,1,2,1,2
FSE-TWEET-APP,com.tweetapp.service,JwtUserDetailsService,0,38,0,2,0,8,0,4,0,3
FSE-TWEET-APP,com.tweetapp.service,TweetServiceImpl,17,245,5,19,2,50,4,23,0,15
FSE-TWEET-APP,com.tweetapp.service,UserServiceImpl,0,91,0,4,0,24,0,10,0,8
FSE-TWEET-APP,com.tweetapp.util,JwtTokenUtil,1,95,2,2,0,15,2,9,0,9
FSE-TWEET-APP,com.tweetapp.configuration,WebSecurityConfig,0,132,0,0,0,26,0,7,0,7
FSE-TWEET-APP,com.tweetapp.configuration,SwaggerConfig,0,85,0,0,0,12,0,6,0,6
FSE-TWEET-APP,com.tweetapp.configuration,JwtRequestFilter,8,126,3,7,2,38,3,5,0,3
FSE-TWEET-APP,com.tweetapp.controller,UserController,0,98,0,4,0,26,0,7,0,5
FSE-TWEET-APP,com.tweetapp.controller,TweetController,0,416,2,24,0,101,2,22,0,11
FSE-TWEET-APP,com.tweetapp.controller,JwtAuthenticationController,16,127,0,2,4,33,1,6,1,5
